train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,4240;4,8395;11,5800;4,3446;6,6552;11,5800;6,6552
14,2620;4,2390;18,9300;3,9857;9,4897;18,9300;9,4897
20,6030;3,9012;23,7800;3,7341;12,6069;23,7800;12,6069
25,3820;3,6764;30,7700;3,4155;13,3724;30,7700;13,3724
29,0730;3,5115;33,4000;3,3100;14,8966;33,4000;14,8966
32,1570;3,3773;37,4300;3,1435;14,2621;37,4300;14,2621
34,6820;3,2673;38,9800;3,0856;17,0000;38,9800;17,0000
37,1130;3,1708;39,7600;3,0370;16,2483;39,7600;16,2483
38,9420;3,0857;43,1900;2,9382;19,3241;43,1900;19,3241
41,1230;3,0014;44,3600;2,8510;19,3862;44,3600;19,3862
43,2760;2,9175;46,2100;2,7796;21,2621;46,2100;21,2621
44,9450;2,8480;48,2200;2,7089;21,4000;48,2200;21,4000
46,6730;2,7826;49,1000;2,6867;23,4276;49,1000;23,4276
48,2560;2,7196;50,9400;2,6207;23,9862;50,9400;23,9862
50,0350;2,6581;52,2000;2,5646;24,7310;52,2000;24,7310
51,4680;2,6022;53,0300;2,5402;24,7862;53,0300;24,7862
52,6900;2,5617;53,5000;2,5095;25,7241;53,5000;25,7241
53,5700;2,5221;53,8100;2,5002;25,8276;53,8100;25,8276
54,3880;2,4979;54,2300;2,4887;25,9724;54,2300;25,9724
54,7960;2,4856;54,4700;2,4822;26,2552;54,4700;26,2552
42,5980;2,9409;42,7000;2,9670;16,4276;42,7000;16,4276
42,6820;2,9333;42,8500;2,9745;20,8897;42,8500;20,8897
43,6340;2,8938;43,3200;2,9490;18,5931;43,3200;18,5931
44,9860;2,8468;46,3000;2,8083;20,8621;46,3000;20,8621
45,9920;2,8003;47,3800;2,7438;23,2897;47,3800;23,2897
47,2850;2,7548;48,3200;2,7202;23,1862;48,3200;23,1862
48,1510;2,7218;48,9800;2,6927;23,2552;48,9800;23,2552
48,9690;2,6844;50,1200;2,6754;23,0138;50,1200;23,0138
49,9710;2,6432;50,9100;2,6032;23,8828;50,9100;23,8828
51,0250;2,6046;52,3000;2,5602;25,2966;52,3000;25,2966
51,9010;2,5709;51,9500;2,5541;23,8897;51,9500;23,8897
52,9560;2,5367;51,9200;2,5845;24,6552;51,9200;24,6552
54,0000;2,4975;53,5700;2,5477;26,9448;53,5700;26,9448
54,7790;2,4628;54,6000;2,5010;25,2276;54,6000;25,2276
55,8030;2,4280;54,7100;2,4776;25,6414;54,7100;25,6414
56,4290;2,3973;55,4100;2,4743;27,9103;55,4100;27,9103
57,7250;2,3530;54,7900;2,4822;27,6414;54,7900;27,6414
58,5540;2,3231;55,8200;2,4808;26,3931;55,8200;26,3931
59,6010;2,2871;56,8000;2,4296;27,8897;56,8000;27,8897
60,5490;2,2553;56,5300;2,4212;28,2138;56,5300;28,2138
61,6080;2,2170;58,0500;2,3795;28,8483;58,0500;28,8483
62,8770;2,1775;58,4600;2,3686;28,5310;58,4600;28,5310
