train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
6,8880;4,2857;11,7100;3,9708;6,9931;11,7100;6,9931
14,0460;3,8669;20,1900;3,6103;17,4759;20,1900;17,4759
21,2680;3,5167;28,3200;3,1884;20,9517;28,3200;20,9517
27,7500;3,2519;36,1700;2,9208;28,2276;36,1700;28,2276
32,9480;3,0498;38,8500;2,7940;27,9655;38,8500;27,9655
37,1900;2,8942;44,1600;2,7153;29,0552;44,1600;29,0552
40,9420;2,7701;48,8800;2,5017;31,4759;48,8800;31,4759
44,0760;2,6619;51,1600;2,4353;36,2207;51,1600;36,2207
46,6160;2,5725;53,2000;2,3890;34,1793;53,2000;34,1793
48,9460;2,4886;54,8500;2,3396;35,1655;54,8500;35,1655
51,6700;2,4035;58,2000;2,1944;38,4897;58,2000;38,4897
53,4940;2,3392;59,0500;2,1574;39,5310;59,0500;39,5310
55,3340;2,2833;62,7000;2,0513;43,6759;62,7000;43,6759
57,3720;2,2196;63,9300;2,0129;43,5103;63,9300;43,5103
58,8580;2,1715;64,0800;1,9807;43,7310;64,0800;43,7310
60,4340;2,1309;66,5600;1,9216;45,4345;66,5600;45,4345
61,8980;2,0846;66,3900;1,9133;44,6069;66,3900;44,6069
63,0640;2,0549;67,8800;1,8916;46,5310;67,8800;46,5310
63,4700;2,0400;67,8600;1,8761;46,5862;67,8600;46,5862
64,0360;2,0266;68,4100;1,8703;46,5241;68,4100;46,5241
52,3860;2,3726;52,6800;2,4348;34,7724;52,6800;34,7724
52,6440;2,3609;56,0700;2,3217;43,0207;56,0700;43,0207
54,0580;2,3172;56,8800;2,2267;36,7724;56,8800;36,7724
55,0480;2,2824;57,0500;2,2176;34,9172;57,0500;34,9172
56,2980;2,2423;60,0800;2,1157;38,3724;60,0800;38,3724
57,8920;2,1989;59,9500;2,1376;39,7034;59,9500;39,7034
59,1060;2,1592;60,8100;2,1815;41,0897;60,8100;41,0897
60,0080;2,1310;63,7200;2,0409;43,8345;63,7200;43,8345
60,9680;2,0964;63,2000;2,0219;40,6552;63,2000;40,6552
61,6260;2,0646;64,6400;1,9918;43,0207;64,6400;43,0207
63,0740;2,0327;64,4000;2,0209;42,3172;64,4000;42,3172
63,8820;2,0022;63,8700;2,0127;44,4483;63,8700;44,4483
65,3080;1,9671;67,1900;1,9274;44,4828;67,1900;44,4828
66,1800;1,9356;66,8000;1,8847;45,4207;66,8000;45,4207
67,0620;1,9065;67,7900;1,8706;46,0966;67,7900;46,0966
68,3220;1,8758;69,6700;1,8209;47,7448;69,6700;47,7448
69,2940;1,8474;69,5900;1,8232;47,9172;69,5900;47,9172
70,2020;1,8179;70,6800;1,7845;49,6552;70,6800;49,6552
71,3140;1,7843;69,4700;1,8116;47,9724;69,4700;47,9724
72,3060;1,7552;68,9800;1,8438;45,4552;68,9800;45,4552
73,1680;1,7329;71,8000;1,7320;47,6069;71,8000;47,6069
73,8660;1,7074;72,7800;1,7181;49,1724;72,7800;49,1724
74,9000;1,6764;72,3200;1,7400;48,4138;72,3200;48,4138
75,9320;1,6508;72,8500;1,7094;49,4207;72,8500;49,4207
76,5960;1,6349;73,8700;1,6876;50,2276;73,8700;50,2276
77,2900;1,6100;74,1500;1,6659;49,3862;74,1500;49,3862
78,3760;1,5838;74,6100;1,6579;50,3586;74,6100;50,3586
79,1840;1,5645;75,0900;1,6645;51,7793;75,0900;51,7793
79,6240;1,5498;74,5700;1,6697;52,0690;74,5700;52,0690
80,3980;1,5247;75,5300;1,6347;51,4414;75,5300;51,4414
81,1740;1,5066;75,9000;1,6350;52,1379;75,9000;52,1379
81,6500;1,4885;76,1400;1,6178;52,4069;76,1400;52,4069
82,1460;1,4793;76,0600;1,6098;53,3586;76,0600;53,3586
82,4400;1,4669;76,6600;1,6076;52,0069;76,6600;52,0069
82,8880;1,4531;76,2700;1,5993;52,5103;76,2700;52,5103
83,3900;1,4429;76,5600;1,5968;52,5724;76,5600;52,5724
83,3840;1,4425;76,5800;1,5967;52,6621;76,5800;52,6621
83,5840;1,4370;76,5800;1,5948;52,7172;76,5800;52,7172
83,6480;1,4324;76,5000;1,5962;52,9379;76,5000;52,9379
83,7040;1,4296;76,6800;1,5945;52,5517;76,6800;52,5517
71,3980;1,7736;66,0500;1,9158;40,9103;66,0500;40,9103
69,7620;1,8229;66,6800;1,9382;44,5862;66,6800;44,5862
70,2440;1,8139;67,9900;1,8477;44,7034;67,9900;44,7034
